36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:40:32.0 (739605)|USER_INFO|[EXTERNAL]|005f4000002PiXT|amancebo.habitica@altimetrik.com|Argentine Time|GMT-03:00
16:40:32.0 (783380)|EXECUTION_STARTED
16:40:32.0 (788392)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000GkBRc|CompleteHTaskTriggerTest.completeDailyTask
16:40:32.0 (1547243)|HEAP_ALLOCATE|[72]|Bytes:3
16:40:32.0 (1603718)|HEAP_ALLOCATE|[77]|Bytes:152
16:40:32.0 (1620313)|HEAP_ALLOCATE|[342]|Bytes:408
16:40:32.0 (1637803)|HEAP_ALLOCATE|[355]|Bytes:408
16:40:32.0 (1666819)|HEAP_ALLOCATE|[467]|Bytes:48
16:40:32.0 (1748996)|HEAP_ALLOCATE|[139]|Bytes:6
16:40:32.0 (1766280)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:71
16:40:32.0 (1801454)|METHOD_ENTRY|[2]|01pf400000GkBRc|CompleteHTaskTriggerTest.CompleteHTaskTriggerTest()
16:40:32.0 (1808115)|STATEMENT_EXECUTE|[2]
16:40:32.0 (1813473)|STATEMENT_EXECUTE|[2]
16:40:32.0 (1826341)|METHOD_EXIT|[2]|CompleteHTaskTriggerTest
16:40:32.0 (1859820)|HEAP_ALLOCATE|[50]|Bytes:5
16:40:32.0 (1896962)|HEAP_ALLOCATE|[56]|Bytes:5
16:40:32.0 (1911064)|HEAP_ALLOCATE|[64]|Bytes:7
16:40:32.0 (1956403)|STATEMENT_EXECUTE|[4]
16:40:32.0 (1959655)|STATEMENT_EXECUTE|[5]
16:40:32.0 (1997644)|HEAP_ALLOCATE|[5]|Bytes:63
16:40:32.0 (2010442)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
16:40:32.0 (2017127)|STATEMENT_EXECUTE|[1]
16:40:32.0 (2024902)|SYSTEM_METHOD_EXIT|[1]|Test
16:40:32.0 (2067916)|METHOD_ENTRY|[5]||System.Test.startTest()
16:40:32.0 (3389448)|METHOD_EXIT|[5]||System.Test.startTest()
16:40:32.0 (3404014)|STATEMENT_EXECUTE|[6]
16:40:32.0 (3449227)|HEAP_ALLOCATE|[6]|Bytes:4
16:40:32.0 (3523103)|HEAP_ALLOCATE|[6]|Bytes:12
16:40:32.0 (4456334)|VARIABLE_ASSIGNMENT|[6]|this.LastName|"TestContact1"|0x61cf59e5
16:40:32.0 (4500049)|HEAP_ALLOCATE|[6]|Bytes:28
16:40:32.0 (4506216)|HEAP_ALLOCATE|[6]|Bytes:28
16:40:32.0 (4537596)|VARIABLE_ASSIGNMENT|[6]|this.Points__c|10|0x61cf59e5
16:40:32.0 (4567565)|VARIABLE_SCOPE_BEGIN|[6]|cont1|Contact|true|false
16:40:32.0 (4804053)|VARIABLE_ASSIGNMENT|[6]|cont1|{"LastName":"TestContact1","Points__c":10}|0x61cf59e5
16:40:32.0 (4815660)|STATEMENT_EXECUTE|[7]
16:40:32.0 (4849458)|HEAP_ALLOCATE|[7]|Bytes:8
16:40:32.0 (4865387)|DML_BEGIN|[7]|Op:Upsert|Type:Contact|Rows:1
16:40:32.0 (4901324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:40:32.0 (13791997)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
16:40:32.0 (13813170)|DUPLICATE_DETECTION_BEGIN
16:40:32.0 (14595083)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bmf4000005NvDQ|DuplicateRuleName:Standard Contact Duplicate Rule|DmlType:INSERT
16:40:32.0 (42912699)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
